context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code,
4/24/12 15:00,WHO - World Health Organization,Health,Eastern Samar,BALANGKAYAN,planned,11.4092,125.405,82603000,,
4/24/12 15:00,ACF International Philippines Mission,Health,Leyte,DULAG,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,Americares,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Child Fund International,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Child Fund International,Health,Leyte,Tolosa,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,FPOP/Saudes em Portugues,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,FPOP/Saudes em Portugues,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,Handicap International,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,Handicap International,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,Humedica (Germany),Health,Leyte,Babatngon,completed,11.388,124.895,83705000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,BURAUEN,ongoing,10.9639,124.855,83710000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,DAGAMI,ongoing,11.0614,124.863,83717000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,DULAG,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,LA PAZ,ongoing,10.8808,124.903,83728000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,MACARTHUR,ongoing,10.8248,124.938,83730000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Tabontabon,ongoing,11.0441,124.947,83746000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Tolosa,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Palo,completed,11.1457,124.97,83739000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,Magna Children at Risk,Health,Leyte,KANANGA,ongoing,11.169,124.564,83726000,,
4/24/12 15:00,Magna Children at Risk,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,MDM France,Health,Leyte,ALBUERA,completed,10.9258,124.745,83703000,,
4/24/12 15:00,MDM France,Health,Leyte,Abuyog,ongoing,10.6584,125.045,83701000,,
4/24/12 15:00,MDM France,Health,Leyte,Carigara,ongoing,11.2368,124.693,83715000,,
4/24/12 15:00,MDM Spain,Health,Leyte,Carigara,ongoing,11.2368,124.693,83715000,,
4/24/12 15:00,Mercy In Action,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,MSF - France,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tolosa,completed,11.0369,125.02,83749000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Leyte,completed,11.338,124.494,83729000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,AlangAlang,completed,11.22,124.864,83702000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Jaro,completed,11.162,124.766,83723000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Pastrana,completed,11.1154,124.861,83741000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,BURAUEN,completed,10.9639,124.855,83710000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,ALBUERA,ongoing,10.9258,124.745,83703000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,ISABEL,ongoing,10.9403,124.46,83722000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,KANANGA,ongoing,11.169,124.564,83726000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Leyte,ongoing,11.338,124.494,83729000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Matag-ob,ongoing,11.124,124.468,83733000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Merida,ongoing,10.9636,124.51,83736000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Palompon,ongoing,11.034,124.422,83740000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,San Isidro,ongoing,11.4245,124.356,83742000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Tabango,ongoing,11.3093,124.404,83745000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Villaba,ongoing,11.1957,124.435,83751000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Albuera,ongoing,10.9258,124.745,83703000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Kananga,ongoing,11.169,124.564,83726000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Palompon,ongoing,11.034,124.422,83740000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,Dagami,completed,11.0614,124.863,83717000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,Julita,completed,10.9813,124.961,83725000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,LA PAZ,completed,10.8808,124.903,83728000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,MACARTHUR,completed,10.8248,124.938,83730000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,Mayorga,completed,10.8832,124.988,83735000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,Tabontabon,completed,11.0441,124.947,83746000,,
4/24/12 15:00,MTI,Health,Leyte,Burauen,completed,10.9639,124.855,83710000,,
4/24/12 15:00,MTI,Health,Leyte,San Miguel,completed,11.3184,124.844,83743000,,
4/24/12 15:00,MTI,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,MTI,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Dulag,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,Tolosa,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,Plan International,Health,Leyte,Burauen,ongoing,10.9639,124.855,83710000,,
4/24/12 15:00,Plan International,Health,Leyte,Dagami,ongoing,11.0614,124.863,83717000,,
4/24/12 15:00,Plan International,Health,Leyte,Dulag,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,Plan International,Health,Leyte,Julita,ongoing,10.9813,124.961,83725000,,
4/24/12 15:00,Plan International,Health,Leyte,LA PAZ,ongoing,10.8808,124.903,83728000,,
4/24/12 15:00,Plan International,Health,Leyte,MACARTHUR,ongoing,10.8248,124.938,83730000,,
4/24/12 15:00,Plan International,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,Plan International,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Plan International,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,Plan International,Health,Leyte,TOLOSA,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,AlangAlang,completed,11.22,124.864,83702000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,Dagami,completed,11.0614,124.863,83717000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,Jaro,completed,11.162,124.766,83723000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,Palo,completed,11.1457,124.97,83739000,,
4/24/12 15:00,Samaritan's Purse,Health,Leyte,Pastrana,completed,11.1154,124.861,83741000,,
4/24/12 15:00,Save the Children,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,Save the Children,Health,Leyte,Jaro,completed,11.162,124.766,83723000,,
4/24/12 15:00,Save the Children,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,Save the Children,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,Save the Children,Health,Leyte,TOLOSA,completed,11.0369,125.02,83749000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Leyte,AlangAlang,completed,11.22,124.864,83702000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Abuyog,ongoing,10.6584,125.045,83701000,,
4/24/12 15:00,UNICEF ,Health,Leyte,AlangAlang,ongoing,11.22,124.864,83702000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Babatngon,ongoing,11.388,124.895,83705000,,
