context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,QUINAPONDAN,Completed,11.1896,125.477,82618000,82618
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TANAUAN,Completed,11.0846,124.991,83748000,83748
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ALANGALANG,Completed,11.22,124.864,83702000,83702
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ABUYOG,Completed,10.6584,125.045,83701000,83701
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ABUYOG,Planned,10.6584,125.045,83701000,83701
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ALANGALANG,Planned,11.22,124.864,83702000,83702
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ALBUERA,Planned,10.9258,124.745,83703000,83703
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,BABATNGON,Planned,11.388,124.895,83705000,83705
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,SALCEDO,Ongoing,11.1593,125.628,82619000,82619
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,BALANGIGA,Ongoing,11.2017,125.364,82602000,82602
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,BALANGIGA,Planned,11.2017,125.364,82602000,82602
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,BALANGKAYAN,Ongoing,11.4092,125.405,82603000,82603
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,BALANGKAYAN,Planned,11.4092,125.405,82603000,82603
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,BARUGO,Planned,11.3078,124.769,83706000,83706
4/24/2012 15:00,DOH/NNC,Nutrition,SAMAR (WESTERN SAMAR),BASEY,Planned,11.3937,125.152,86002000,86002
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,CAN-AVID,Planned,11.9878,125.33,82605000,82605
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,CARIGARA,Planned,11.2368,124.693,83715000,83715
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,CITY OF BORONGAN (CAPITAL),Planned,11.5914,125.346,82604000,82604
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,DAGAMI,Planned,11.0614,124.863,83717000,83717
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,DULAG,Planned,10.9633,125.008,83718000,83718
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,GENERAL MACARTHUR,Planned,11.2674,125.507,82607000,82607
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,GIPORLOS,Ongoing,11.1271,125.475,82608000,82608
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,GIPORLOS,Planned,11.1271,125.475,82608000,82608
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,GUIUAN,Ongoing,10.8515,125.737,82609000,82609
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,GUIUAN,Planned,10.8515,125.737,82609000,82609
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,HERNANI,Ongoing,11.3267,125.592,82610000,82610
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,HERNANI,Planned,11.3267,125.592,82610000,82610
